algorithm,nodes,n,size,total_time,comm_time,comp_time
mpi_p2p_nb,1,2048,40,5.178034,0.321413,4.856615
mpi_p2p_nb,1,2048,40,5.273733,0.205180,5.068550
mpi_p2p_nb,1,4096,40,46.931386,0.685746,46.245626
mpi_p2p_nb,1,4096,40,48.901877,0.758346,48.143518
mpi_p2p_nb,1,4096,40,47.816618,1.201487,46.615116
mpi_p2p_nb,1,4096,40,48.773467,0.890941,47.882513
mpi_p2p_nb,1,4096,40,48.807900,0.638270,48.169625
mpi_p2p_nb,2,512,80,0.309079,0.303147,0.005931
mpi_p2p_nb,2,512,80,0.296534,0.287845,0.008687
mpi_p2p_nb,2,512,80,0.336556,0.330470,0.006084
mpi_p2p_nb,2,512,80,0.304566,0.299729,0.004835
mpi_p2p_nb,2,512,80,0.285632,0.274098,0.011532
mpi_p2p_nb,2,1024,80,0.486435,0.391142,0.095292
mpi_p2p_nb,2,1024,80,0.483654,0.382318,0.101334
mpi_p2p_nb,2,1024,80,0.419974,0.320089,0.099883
mpi_p2p_nb,2,1024,80,0.442968,0.349494,0.093472
mpi_p2p_nb,2,1024,80,0.425066,0.299805,0.125260
mpi_p2p_nb,2,2048,80,3.267165,0.866343,2.400809
mpi_p2p_nb,2,2048,80,3.279830,0.666587,2.613230
mpi_p2p_nb,2,2048,80,3.972960,1.632087,2.340867
mpi_p2p_nb,2,2048,80,4.033504,1.590050,2.443448
mpi_p2p_nb,2,2048,80,3.250810,0.862073,2.388727
mpi_p2p_nb,2,4096,80,27.267442,2.942754,24.324684
mpi_p2p_nb,2,4096,80,26.503869,2.986393,23.517471
mpi_p2p_nb,2,4096,80,27.887809,3.880040,24.007765
mpi_p2p_nb,2,4096,80,25.119660,1.953342,23.166314
mpi_p2p_nb,2,4096,80,25.131237,2.192298,22.938922
mpi_p2p_nb,3,512,120,0.606955,0.601769,0.005184
mpi_p2p_nb,3,512,120,0.828055,0.821437,0.006616
mpi_p2p_nb,3,512,120,0.682785,0.679652,0.003132
mpi_p2p_nb,3,512,120,0.731168,0.728383,0.002783
mpi_p2p_nb,3,512,120,0.459690,0.456354,0.003334
